,Unnamed: 0.1,Unnamed: 0,step_tuple,step_start_v,step_end_v,step_start,step_end,delta_time_control,delta_time_test,total_seconds_control,total_seconds_test,avg_seconds_control,avg_seconds_test
0,0,0,"('start', 'start')",0,0,start,start,4 days 16:35:11,3 days 14:02:16,405311.0,309736.0,52.70624187256177,41.43071161048689
1,1,1,"('start', 'step_1')",0,1,start,step_1,10 days 02:31:42,23 days 01:34:48,873102.0,1992888.0,40.04687643335474,70.65976457240107
2,2,2,"('start', 'step_2')",0,2,start,step_2,1 days 00:16:38,1 days 23:56:24,87398.0,172584.0,68.9802683504341,102.72857142857143
3,3,3,"('start', 'step_3')",0,3,start,step_3,1 days 01:14:07,0 days 19:43:30,90847.0,71010.0,161.93761140819964,96.0893098782138
4,4,4,"('start', 'confirm')",0,4,start,confirm,0 days 07:06:43,0 days 12:33:13,25603.0,45193.0,69.76294277929155,52.48896631823461
5,5,5,"('step_1', 'start')",1,0,step_1,start,7 days 01:34:54,4 days 06:35:18,610494.0,369318.0,116.41762013729978,45.50492853622474
6,6,6,"('step_1', 'step_1')",1,1,step_1,step_1,0 days 13:46:50,0 days 10:09:06,49610.0,36546.0,132.29333333333332,64.45502645502646
7,7,7,"('step_1', 'step_2')",1,2,step_1,step_2,8 days 05:05:12,26 days 23:43:20,709512.0,2331800.0,38.364442521898994,102.09281961471103
8,8,8,"('step_1', 'step_3')",1,3,step_1,step_3,1 days 12:45:31,1 days 16:36:57,132331.0,146217.0,129.60920666013712,119.94831829368334
9,9,9,"('step_1', 'confirm')",1,4,step_1,confirm,0 days 15:39:24,0 days 08:46:30,56364.0,31590.0,189.77777777777777,57.96330275229358
10,10,10,"('step_2', 'start')",2,0,step_2,start,3 days 10:42:27,1 days 15:34:16,297747.0,142456.0,123.75187032418953,46.02778675282714
11,11,11,"('step_2', 'step_1')",2,1,step_2,step_1,1 days 01:22:57,2 days 06:59:46,91377.0,197986.0,66.94285714285714,69.98444680098974
12,12,12,"('step_2', 'step_2')",2,2,step_2,step_2,0 days 07:24:51,0 days 05:29:17,26691.0,19757.0,132.13366336633663,66.9728813559322
13,13,13,"('step_2', 'step_3')",2,3,step_2,step_3,19 days 03:25:39,30 days 00:07:03,1653939.0,2592423.0,94.0432705976005,130.31180255353374
14,14,14,"('step_2', 'confirm')",2,4,step_2,confirm,1 days 19:20:24,0 days 08:45:47,156024.0,31547.0,202.62857142857143,30.421407907425266
15,15,15,"('step_3', 'start')",3,0,step_3,start,6 days 01:13:35,2 days 14:50:23,522815.0,226223.0,137.4743623455167,50.76817773788151
16,16,16,"('step_3', 'step_1')",3,1,step_3,step_1,1 days 06:06:38,0 days 09:34:17,108398.0,34457.0,110.38492871690428,61.973021582733814
17,17,17,"('step_3', 'step_2')",3,2,step_3,step_2,1 days 10:48:48,0 days 22:11:37,125328.0,79897.0,59.34090909090909,40.55685279187817
18,18,18,"('step_3', 'step_3')",3,3,step_3,step_3,0 days 05:11:24,0 days 04:29:43,18684.0,16183.0,99.9144385026738,98.07878787878788
19,19,19,"('step_3', 'confirm')",3,4,step_3,confirm,18 days 16:56:32,11 days 05:16:41,1616192.0,969401.0,128.94463060475508,63.734451019066405
20,20,20,"('confirm', 'start')",4,0,confirm,start,8 days 11:54:36,7 days 13:03:34,734076.0,651814.0,58.52475484333891,41.21231664137582
21,21,21,"('confirm', 'step_1')",4,1,confirm,step_1,0 days 11:10:01,0 days 21:57:37,40201.0,79057.0,44.32304299889746,69.9000884173298
22,22,22,"('confirm', 'step_2')",4,2,confirm,step_2,0 days 02:08:04,0 days 12:54:41,7684.0,46481.0,30.133333333333333,127.34520547945205
23,23,23,"('confirm', 'step_3')",4,3,confirm,step_3,0 days 01:46:33,0 days 14:49:46,6393.0,53386.0,24.400763358778626,156.55718475073314
24,24,24,"('confirm', 'confirm')",4,4,confirm,confirm,0 days 03:20:39,0 days 18:50:25,12039.0,67825.0,26.171739130434784,37.99719887955182
